id,firstName,lastName,age,gender,email,lat,lng,country,fav_category_in_cart
1,Emily,Johnson,28,female,emily.johnson@x.dummyjson.com,-77.16213,-92.084824,Unknown,
2,Michael,Williams,35,male,michael.williams@x.dummyjson.com,22.815468,115.608581,China,
3,Sophia,Brown,42,female,sophia.brown@x.dummyjson.com,45.289366,46.832664,Russia,
4,James,Davis,45,male,james.davis@x.dummyjson.com,16.782513,-139.34723,Unknown,
5,Emma,Miller,30,female,emma.miller@x.dummyjson.com,0.505589,-157.43281,Unknown,
6,Olivia,Wilson,22,female,olivia.wilson@x.dummyjson.com,75.32627,-26.15285,Greenland,mobile-accessories
7,Alexander,Jones,38,male,alexander.jones@x.dummyjson.com,35.289664,7.063255,Algeria,
8,Ava,Taylor,27,female,ava.taylor@x.dummyjson.com,-81.194833,-87.948158,Unknown,
9,Ethan,Martinez,33,male,ethan.martinez@x.dummyjson.com,74.074918,-25.312703,Greenland,
10,Isabella,Anderson,31,female,isabella.anderson@x.dummyjson.com,41.331324,151.782727,Unknown,
11,Liam,Garcia,29,male,liam.garcia@x.dummyjson.com,-66.218177,-145.340165,Unknown,"furniture, groceries"
12,Mia,Rodriguez,24,female,mia.rodriguez@x.dummyjson.com,24.857497,-34.865429,Unknown,
13,Noah,Hernandez,40,male,noah.hernandez@x.dummyjson.com,-25.0377,-151.70469,Unknown,
14,Charlotte,Lopez,36,female,charlotte.lopez@x.dummyjson.com,-44.443762,-151.420561,Unknown,
15,William,Gonzalez,32,male,william.gonzalez@x.dummyjson.com,8.152876,113.29799,Vietnam,
16,Avery,Perez,25,female,avery.perez@x.dummyjson.com,12.789127,85.792598,Unknown,
17,Evelyn,Sanchez,37,female,evelyn.sanchez@x.dummyjson.com,-83.31484,11.768071,Unknown,
18,Logan,Torres,31,male,logan.torres@x.dummyjson.com,-64.846516,174.775744,Unknown,
19,Abigail,Rivera,28,female,abigail.rivera@x.dummyjson.com,44.321308,-3.723903,Unknown,
20,Jackson,Evans,34,male,jackson.evans@x.dummyjson.com,34.722451,63.448927,Afghanistan,
21,Madison,Collins,26,female,madison.collins@x.dummyjson.com,52.993694,160.486892,Unknown,
22,Elijah,Stewart,33,male,elijah.stewart@x.dummyjson.com,-54.833799,-174.504027,Unknown,
23,Chloe,Morales,39,female,chloe.morales@x.dummyjson.com,-30.190759,-58.705979,Argentina,mobile-accessories
24,Mateo,Nguyen,30,male,mateo.nguyen@x.dummyjson.com,-32.828675,-82.557354,Unknown,
25,Harper,Kelly,27,female,harper.kelly@x.dummyjson.com,-26.832913,-75.445017,Unknown,
26,Evelyn,Gonzalez,35,female,evelyn.gonzalez@x.dummyjson.com,67.768359,71.268643,Russia,
27,Daniel,Cook,41,male,daniel.cook@x.dummyjson.com,-3.456681,-134.937482,Unknown,
28,Lily,Lee,29,female,lily.lee@x.dummyjson.com,-9.87059,-72.336845,Peru,
29,Henry,Hill,38,male,henry.hill@x.dummyjson.com,35.498256,154.088476,Unknown,
30,Addison,Wright,32,female,addison.wright@x.dummyjson.com,20.946052,100.228822,Myanmar,
31,Gabriel,Adams,36,male,gabriel.adams@x.dummyjson.com,52.410844,23.60067,Belarus,
32,Natalie,Harris,28,female,natalie.harris@x.dummyjson.com,-20.105724,136.91646,Australia,
33,Carter,Baker,31,male,carter.baker@x.dummyjson.com,-63.00584,76.189171,Unknown,"womens-jewellery, mobile-accessories"
34,Sofia,Mitchell,25,female,sofia.mitchell@x.dummyjson.com,-44.27707,-40.123604,Unknown,
35,Jack,Ward,29,male,jack.ward@x.dummyjson.com,52.754451,32.383886,Russia,
36,Harper,Turner,33,female,harper.turner@x.dummyjson.com,-41.149882,-167.072873,Unknown,
37,Mason,Parker,34,male,mason.parker@x.dummyjson.com,-59.018685,82.296555,Unknown,
38,Aria,Roberts,26,female,aria.roberts@x.dummyjson.com,36.157244,-29.219594,Unknown,
39,Lucas,Gray,30,male,lucas.gray@x.dummyjson.com,-50.975209,53.492629,Unknown,
40,Ella,Adams,27,female,ella.adams@x.dummyjson.com,-20.421386,-125.851148,Unknown,
41,Evan,Reed,32,male,evan.reed@x.dummyjson.com,89.781211,-50.810277,Unknown,groceries
42,Avery,Carter,28,female,avery.carter@x.dummyjson.com,-59.303292,-87.318538,Unknown,"kitchen-accessories, mens-shoes"
43,Benjamin,Foster,34,male,benjamin.foster@x.dummyjson.com,41.653453,175.676203,Unknown,
